"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Switzerland","CHE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48181.7557750506","47147.5392941208","46610.189795911","46129.4418063966","46344.2603525896","46256.9705907555","46301.8330422132","47271.3555292296","48540.2729292941","49128.0335737854","50775.9763390062","51117.8874407516","50815.1531556825","50459.5029062084","51505.0923669791","52770.4689302242","54531.9936996731","56269.1565026942","56755.8381307405","54805.5792896896","55866.3050707537","56183.8325850081","56149.6708620093","56535.7400477582","57218.0279263612","57264.1573970635","57430.0532652818","",
"Channel Islands","CHI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8991.84647717044","9538.65463138555","10437.9848863787","10956.1145552922","11336.7842689097","12172.2585583541","12819.8977019941","13587.5067817272","13991.4230511506","13758.9144334018","14315.4260570701","14613.8038698458","14895.5401923208","15332.2970279137","16258.3889455787","17007.5798219092","17890.5997209251","18572.5683881681","19031.6164297818","18547.4615343093","19442.0503154635","20437.704525923","21330.2399109073","21998.3071454447","22226.4524735619","22536.6176878913","22706.7205369643","",
"China","CHN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1526.40869902494","1645.66636638566","1856.72218055136","2090.03840956191","2336.27772051927","2564.07131651646","2789.25280006157","3015.69963078252","3221.00262081845","3438.07468502092","3700.74364786842","3980.36449828146","4314.79134256322","4718.32634605353","5164.64109457187","5719.45536599539","6411.0425444815","7285.27441480908","7947.78795240087","8651.72590128034","9525.81848339164","10384.3665989406","11145.7515754935","11951.2479591608","12758.647789259","13569.8915267324","14399.4476596052","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3193.75853118149","3083.89094459281","2970.47508007571","2864.70880439947","2793.44069652895","2898.40074511118","3027.80288023441","3049.48682118826","3111.50076965202","3081.19861899627","2947.60657282953","2889.94570963636","2788.34736345124","2701.76948254129","2686.66566770196","2682.44886081623","2670.22935592571","2662.33111403082","2672.3370818306","2698.55434934798","2690.25800198952","2511.42019511915","2712.3780260472","2879.85021689505","3054.53487387382","3241.61205578957","3424.76420967961","",
"Cameroon","CMR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3020.49191137826","2822.219192001","2657.99214404389","2380.03788878214","2365.55239479005","2383.74857308258","2424.40269475401","2487.66354577167","2535.5584131079","2578.98146028484","2603.77159248619","2648.54670534783","2689.89173735827","2739.68510375741","2848.65422813997","2829.190690079","2848.72465800691","2907.82660691982","2927.84464777934","2911.29666861693","2929.82911281962","2969.0475747898","3021.20596968087","3100.17130995318","3196.36152634263","3289.06454559229","3346.81779272084","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280.45493261813","1130.17390249044","972.738758531964","809.479574908967","750.093414578074","731.336860150501","703.97155974239","648.366449893093","623.463744734813","583.081521532265","529.206208896995","503.982464741981","503.832121235056","515.846758770152","533.536362754966","548.508795945046","559.390893518448","575.332013426892","591.35089493025","588.393410590812","609.404402826866","629.856388836565","652.777286403699","685.072461222166","725.730118035762","750.497342032215","743.894342387149","",
"Congo, Rep.","COG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5140.41614581672","5122.26094091054","5114.784771474","4928.00190152461","4530.73030425264","4582.10681925786","4645.97846769372","4487.20949840949","4523.62715342227","4283.32408783285","4480.14767745898","4524.17156289357","4604.5745018184","4515.66544358996","4539.27390370056","4742.93598023691","4875.93729603982","4637.21291552922","4730.0337965244","4918.07201183644","5186.34478845194","5213.94692099844","5271.16806023104","5317.08629189111","5538.05294137178","5542.89298198573","5301.39594111599","",
"Colombia","COL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7533.5183848011","7562.69769462864","7799.9089739139","7844.02273663591","8160.12071339933","8442.85081332772","8478.95110360675","8634.46908838063","8553.38091403262","8073.37269322374","8308.22294990052","8327.07075920399","8415.7591194705","8625.24656969163","8963.59532934742","9263.73017273061","9760.13492630678","10306.9474882958","10547.2603938218","10599.9626049907","10900.5052821616","11496.4777054381","11840.2404334565","12296.2955351848","12715.9673914398","12985.3831345266","13124.3248435936","",
"Comoros","COM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1599.9515501721","1469.78049063992","1549.20253137585","1550.21408504501","1427.11043134379","1437.83280170583","1380.82433867905","1398.34025742988","1379.36515245113","1370.11538911918","1480.91767363897","1478.57821644879","1476.84427985897","1472.41387809092","1465.45730073842","1471.55941417734","1474.82742892889","1451.4216109325","1422.62234877284","1415.84568986876","1412.50268663997","1414.61172325694","1422.22948677119","1437.00490702868","1432.08874813164","1413.05927704673","1411.15233885964","",
