"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","81.7655887267297","83.3806980080462","83.0115637738151","81.8133508330692","81.5737581584481","85.019735262008","85.3841012870992","85.3534942452088","84.3112452238578","82.7051999290875","81.7633207927818","81.4610291385079","80.5116546203757","81.9244567657452","81.259455579044","82.4464319987978","83.4326947447834","83.7851660851937","83.3928775771338","83.8679599258061","83.5300058025001","83.4896897869506","82.6209604245841","82.8465148766856","83.6371724726636","83.2142828688499","82.99399268073","83.0004334495164","81.3177213706051","76.7752821727465","77.1353187836238","75.8958686138659","75.936608296369","79.3232817251546","80.8869463907787","81.2653291989099","79.8155519174577","80.0394555502345","79.504518309874","77.9391234893279","",
"Australia","AUS","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1037069855954","66.3132737815389","67.2025392909004","67.3107769362741","67.2620133837515","67.7351214761391","67.8410202856603","68.831123183241","68.9822949296351","69.849111727299","69.8662564782788","70.2232234917258","69.9304001448488","70.4576758258367","70.4352710055683","70.0766185853178","69.145991421614","69.7094728023458","69.7518393494048","68.6240945864818","70.5529364888048","69.038980179441","69.3400583730394","70.6212136999464","70.3208711032798","72.0447952962684","73.0665867128986","",
"Austria","AUT","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","55.9176775141871","57.0677824576578","56.9098932712088","58.1439650576879","58.0645167877751","58.8416632760553","60.1470676651375","60.87495443892","61.6724103107209","61.911894024476","62.171971158153","62.7841997943758","63.1179131723057","63.4516660929453","63.2091728210815","63.5934958727002","64.5688553855114","65.6839300349032","65.3945193160275","65.5166964140616","65.627298092429","65.6666911953097","66.0142490126716","66.0777211197764","66.4592924709013","66.5654471408579","67.5608153973821","67.5665111216932","67.6452566755143","68.1308118372936","68.0028456221935","67.5390586277082","68.3166550298729","69.767484807495","69.9176421022989","69.874705141749","69.676897648065","69.9463683262617","70.225940908922","70.6968347225566","71.0208981783805","",
"Azerbaijan","AZE","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0649981322376","36.3023209680619","31.5284239192103","37.7272423025435","38.8031866532084","39.1130752819262","33.3930111814586","38.319987417685","44.6142000569894","40.1334841004992","37.523323318801","36.7187914776138","34.6498857640894","33.9544897798313","33.4382028150507","26.5091568762958","23.7859182714201","24.5033627403238","23.8067644718361","32.2702529618956","30.011266075533","29.025355881867","31.4557474099655","32.2653979302812","36.0036079352621","43.920357020254","42.2772138832738","",
"Burundi","BDI","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","19.2010302718716","20.3039648854814","23.0728645592239","19.5642305946437","21.0528613728557","20.8503914618345","22.4176684655858","22.1626491560547","23.1892014807197","22.8064985528567","25.1310822284632","25.2700251523653","27.6960944064107","27.253489749542","26.0288217168285","25.4607984531753","27.9596013742355","27.7616979469625","29.087678514581","26.6565692372144","25.1580599272924","26.0931706828262","25.2938071675729","24.9333053352912","30.7438309403776","32.6071910606943","30.1480704723622","36.6454526377178","36.1251707650572","35.9042945459022","35.0082099452842","37.0689327126178","37.5154399186096","36.6050465701175","36.8523726931614","37.0503921391869","38.9453515494835","44.6255278168753","43.4259312075752","42.8363161327113","42.847272846255","42.7533832398741","42.5320360092035","42.4386616610991","42.4273715994046","43.1192559908961","43.6773621995221","",
"Belgium","BEL","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5994074213668","69.7574706281893","69.3423877513534","70.017669416776","71.0415572199103","70.8829362281654","71.7451520062766","72.3887285241206","73.1339684736028","73.3313062032428","73.962494093247","74.0392042101829","74.0408410315759","74.8982678083384","76.3928183433974","75.9712397219644","76.2716759857298","76.6716835151244","77.0021141335729","77.2627083851183","77.0660099991401","77.1569470674904","",
"Benin","BEN","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","43.6151323348994","43.9927671433451","45.4994181530483","44.8122107048694","43.67841036362","47.3987264349621","43.5455672370269","46.5059242890085","50.2631170503499","50.4402718428854","51.9683960353036","52.1614596957261","51.8808534287536","52.0799538792979","51.3820792425374","53.2970057361548","53.8934592870226","55.5879264538206","51.4524925014673","51.6637677148819","52.2856404483034","54.4249432095668","52.3763800493629","51.4853819246463","49.6189872949535","51.7520242428101","54.2210946873664","54.3544840992514","52.2252367899733","49.3750999207062","52.891669584582","52.9735960804375","53.3304153764531","53.6634374196446","54.3679410147105","53.517528996626","51.027758623292","50.6973620722957","50.8568789177286","41.2645820390695","42.3825958338469","41.8366773450233","40.4454555073537","41.904385227666","41.6936733831196","41.6835164835165","42.1320008328128","44.8089387251978","47.8574218056591","48.1376422517138","49.0176073720586","50.1263048969778","52.1729718027818","52.317301686446","52.2047726843992","51.4416896235078","51.0835137582047","",
"Burkina Faso","BFA","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","39.5864595299028","39.7994403889221","40.3131244576148","38.4182807474289","38.4115743159245","43.1988805479741","42.4095764798867","43.179966021426","44.3776567429249","44.2096039552223","45.7784626762576","42.650727163386","42.5617413083974","41.716249882294","43.6677323071178","42.43320172973","41.1210978532011","46.8923865650593","45.3386927788379","48.4453506624725","50.1079693514946","49.9373670484683","52.1278986983886","50.9663267360367","50.4923728393637","44.8533192523282","47.3409964569937","47.7068329554049","47.5124196112497","47.9588903786734","49.6212276644921","48.590187712308","48.605436105754","48.0248611468998","42.4717411170723","42.6483127393891","40.5808214415857","41.7779645128301","41.1089138532517","42.1955023049076","45.6641306516723","43.4749580342973","43.9253003495397","41.743799745153","44.3041413592147","42.9895002838228","45.6537848568744","48.376077400325","43.5778295405928","45.1018055128292","41.3804398597623","39.0020268607379","40.033001927261","43.353214573706","43.1516302443506","45.077233190527","43.0337445624058","",
"Bangladesh","BGD","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","35.5518720551536","35.2176462996046","35.0175642153379","35.0487389633338","36.2201388963456","36.4582804781822","35.7375438522889","36.0446932217479","37.1819145143434","35.4007770657731","36.7094171781466","41.2848500130114","34.3259918971786","31.2508095136351","29.9907187171958","26.4348135606942","33.636340273609","34.3728691714734","31.4399790078613","31.8615331335383","47.812396117583","46.1222122634049","46.4908069571359","46.2410309979475","41.7568280490547","44.3876703957385","45.0442288162513","45.1806230817285","46.0331123537781","46.7828248637731","46.5501509825044","47.896634081378","48.1374101473107","49.9330258248623","50.045068532559","49.055818374493","52.7210694110409","52.5385154419291","52.4113287821698","52.7124825568617","52.9136505318556","53.2353537262031","54.2891518161587","55.3405361547921","55.6715308249632","55.8094857290001","55.5944028537723","55.5556370568636","55.5689701591544","55.705557919009","56.0450070322074","55.8958791281613","56.162386740462","56.0877028989812","56.2818913385821","56.3462045652581","56.4586809198697","",
"Bulgaria","BGR","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","30.898918343372","29.7266527395519","24.9674526254882","25.1221322016029","24.1126744528041","25.2542033318436","21.7397985720365","29.0921278534941","30.9584300779094","31.7646568586598","33.7765282827429","39.2970131576813","43.5678709691733","51.515036191897","51.8847354433652","56.9354904887193","65.770565536402","53.7397540357021","59.981452324488","60.1310901149993","61.5744722012596","61.0460229344012","62.3960544697124","62.0729710026521","63.5093830088008","63.2521103395393","63.0290346545052","64.0401429394928","63.3839758014305","64.7241626394023","67.8388084834477","65.4552367648538","65.8387973337574","67.084651923216","67.6023713422024","67.3412812209257","66.99036537692","",
"Bahrain","BHR","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.248378310014","49.4083465935485","51.6989801489376","50.8600278381082","52.849272079091","59.0036397509099","59.8684462694502","",
"Bahamas, The","BHS","Services, etc., value added (% of GDP)","NV.SRV.TETC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","83.8677186503273","83.9512242268041","83.9140306129213","83.4272296067952","","79.7597244647812","81.0405080675351","78.2939485520766","78.650860929567","82.0686255205909","79.6297825488577","80.410511907757","80.2826111586645","78.5657862998497","79.1054464265009","80.6909180246373","79.6022310844708","83.7658059359329","81.786033687881","81.7077762840626","82.757014155373","82.4067285194387","80.5362566386002","84.2555686411002","82.7372979092602","83.6653598748418","81.4055721322667","80.5400106964738","84.5060754461816","85.7273193234239","83.8266623469698","87.8388004763451","86.2183949896608","",
